카드이름,카드혜택,연회비,전월실적
신한 Meme(밈) 카드,"음원사이트
5% 적립
앱스토어
5% 적립
편의점
5% 적립",국내전용 없음,전월실적 없음
신한 S-Choice체크카드,"버스/지하철/택시
10% 할인(캐시백)
커피전문점
20% 할인(캐시백)
백화점
10% 할인(캐시백)",해외겸용 없음,전월실적 20만원 이상
신한플러스 멤버십 체크,"모든가맹점
0.3% 적립
생활가맹점
1.7% 추가적립
쇼핑가맹점
0.7% 추가적립",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
GS칼텍스 신한카드 경차사랑 체크,"경차
유류세 환급
GS칼텍스
15원~30원/L 할인
자동차보험
2만~3만원 할인",국내전용 없음,전월실적 없음
신한카드 국민행복 체크,"넷플릭스/유튜브
50% 할인
배달앱
5% 할인
어린이집/유치원
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
신한카드 아이행복 체크카드,"병원/약국
5% 할인
쇼핑
5% 할인
통신비/도시가스
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
신세계 신한카드 체크,"스타벅스
500원 할인
쿠팡,티몬
1% 포인트적립
롯데월드,서울랜드
50% 할인",해외겸용 없음,전월실적 30만원 이상
CJ ONE 신한카드 체크,"CJ ONE포인트
5% 추가적립
CGV
7,000원 캐시백
투썸플레이스
10% 캐시백",해외겸용 없음,전월실적 20만원 이상
Deep On 체크,"국내가맹점
0.2% 적립
해외가맹점
0.5% 적립
정기결제 최대
2% 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
신한카드 FANtastic S 체크(DRX),"간편결제(신한플레이)
15% 캐시백
쿠팡, 티몬
10% 캐시백
스타벅스
10% 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
신한카드 EV 체크,"전기차 충전
30% 할인
대중교통
5% 할인
보험료
30,000원 할인",해외겸용 없음,전월실적 30만원 이상
신한카드 On 체크,"간편결제
2% 적립
생활편의
2% 적립
해외 이용금액
1.3% 적립",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
Global Air 아시아나 체크,"주중 2,500원 당
1마일리지 적립
주말 1,000원 당
1마일리지 적립
해외인출 1건 당
US $3 캐시백","국내전용 10,000원 / 해외겸용 10,000원",전월실적 20만원 이상
신한카드 봄(체크),"국내외 이용금액 최대
0.3% 캐시백
대중교통 일 최대
200원 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 없음
TEENS(틴즈) PLUS PONEY 신한카드 체크,"영화
2천원 할인
놀이공원
50% 할인
베이커리/패스트푸드
5% 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 10만원 이상
위버스 신한카드 체크(SEVENTEEN),"위버스샵
2% 적립
생활영역
5% 적립
하이브인사이트
25% 할인",국내전용 없음,전월실적 20만원 이상
신한카드 Finnq(핀크) 체크,"핀크머니
0.2% 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
몰테일 신한카드 체크,"몰테일
3천원 캐시백
해외전가맹점
1.2% 캐시백
쿠팡,티몬
9% 캐시백",해외겸용 없음,전월실적 없음
Global+ 체크,"국내가맹점
0.2% 캐시백
대중교통
2% 캐시백
해외가맹점
1.2% 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
11번가 신한카드 체크,"국내외가맹점
0.1% 적립
11번가
0.5% 적립",해외겸용 없음,전월실적 없음
L.pay 신한카드 체크,"국내/해외일시불
0.1% 적립
롯데더드림영역
0.5% 적립
L.pay결제시 최대
2.5% 추가적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
JYP Fan’s EDM 체크,"국내콘서트/공연
5% 캐시백
음원/스트리밍
5% 캐시백
대중교통
3% 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
SOCAR 제휴 SOCAR 신한카드 체크,"SOCAR 결제
10% 할인
영화예매
10% 할인
철도 이용시
5% 할인",해외겸용 없음,전월실적 20만원 이상
마이 홈플러스 체크카드,"홈플러스포인트
0.6% 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
위버스 신한카드 체크(BTS),"위버스샵
2% 적립
생활영역
5% 적립
하이브인사이트
25% 할인",국내전용 없음,전월실적 20만원 이상
KT 신한카드 체크,"KT통신요금
5,000원 캐시백
GS25
5% 캐시백
CGV
10% 캐시백",국내전용 없음,전월실적 30만원 이상
LG U+ 신한카드 Smart 체크,"LG U+ 통신요금
3,000원 캐시백
GS25
5% 캐시백
맥스무비
2,000원 캐시백",국내전용 없음,전월실적 30만원 이상
ZEPETO 신한카드,"전 가맹점
최대 0.5% 적립
편의점 결제
5% 적립",국내전용 없음,전월실적 없음
